province,x,y
آذربایجان شرقی,-247,146
آذربایجان غربی,-217,184
اردبیل,-174,196
اصفهان,-72,19
البرز,-108,118
ایلام,-219,19
بوشهر,-94,-129
تهران,-88,98
چهارمحال و بختیاری,-114,-20
خراسان جنوبی,137,3
خراسان رضوی,124,103
خراسان شمالی,65,159
خوزستان,-161,-38
زنجان,-170,131
سمنان,0,90
سیستان و بلوچستان,192,-166
فارس,-42,-117
قزوین,-133,111
قم,-100,69
کردستان,-212,107
کرمان,79,-89
کرمانشاه,-226,65
کهگیلویه و بویراحمد,-111,-59
گلستان,10,150
گیلان,-134,150
لرستان,-183,32
مازندران,-58,124
مرکزی,-183,60
هرمزگان,54,-170
همدان,-170,75
یزد,19,-12

